X Density
0.005 0.2
0.015 0.2
0.025 0.2
0.035 0.2
0.045 0.2
0.055 0.2
0.065 0.2
0.075 0.2
0.085 0.2
0.095 0.2
0.105 0.2
0.115 0.2
0.125 0.2
0.135 0.2
0.145 0.2
0.155 0.2
0.165 0.2
0.175 0.2
0.185 0.2
0.195 0.2
0.205 0.2
0.215 0.2
0.225 0.2
0.235 0.2
0.245 0.2
0.255 0.2
0.265 0.2
0.275 0.2
0.285 0.2
0.295 0.2
0.305 1
0.315 1
0.325 1
0.335 1
0.345 1
0.355 1
0.365 1
0.375 1
0.385 1
0.395 1
0.405 1
0.415 1
0.425 1
0.435 1
0.445 1
0.455 1
0.465 1
0.475 1
0.485 1
0.495 1
0.505 1
0.515 1
0.525 1
0.535 1
0.545 1
0.555 1
0.565 1
0.575 1
0.585 1
0.595 1
0.605 1
0.615 1
0.625 1
0.635 1
0.645 1
0.655 1
0.665 1
0.675 1
0.685 1
0.695 1
0.705 0.2
0.715 0.2
0.725 0.2
0.735 0.2
0.745 0.2
0.755 0.2
0.765 0.2
0.775 0.2
0.785 0.2
0.795 0.2
0.805 0.2
0.815 0.2
0.825 0.2
0.835 0.2
0.845 0.2
0.855 0.2
0.865 0.2
0.875 0.2
0.885 0.2
0.895 0.2
0.905 0.2
0.915 0.2
0.925 0.2
0.935 0.2
0.945 0.2
0.955 0.2
0.965 0.2
0.975 0.2
0.985 0.2
0.995 0.2
1.005 0.2
